event_date,bout_id,red_fighter,blue_fighter,P_red_win,P_blue_win,predicted_winner,predicted_winner_probability,predicted_side,P_KO_TKO,P_SUB,P_DEC,predicted_method,predicted_method_probability,P_red_KO_TKO,P_red_SUB,P_red_DEC,P_blue_KO_TKO,P_blue_SUB,P_blue_DEC,predicted_winner_method,predicted_joint_probability,actual_winner,actual_side,actual_method,actual_finish_round,actual_elapsed_seconds,simulated_mean_elapsed_seconds,simulated_mean_submission_attempts,simulated_mean_ground_seconds,simulated_mean_td_attempts,simulated_mean_td_landed,simulated_mean_ground_entries,simulated_nondecision_mean_seconds,winner_correct,method_correct,winner_method_correct,winner_probability_assigned_to_actual,market_american_odds_blue,market_american_odds_red,market_implied_probability_blue,market_implied_probability_red,market_overround,market_novig_p_red,market_novig_p_blue,market_available,market_favorite_side,market_favorite,market_correct,model_market_agree,model_minus_market_p_red,model_actual_probability,market_actual_probability,model_edge_predicted_side
2025-06-07,d078e9046aa86307,Ariane da Silva,Wang Cong,0.3,0.7,Wang Cong,0.7,blue,0.15,0.13,0.72,DEC,0.72,0.12,0.05,0.13,0.03,0.08,0.59,blue_DEC,0.59,Wang Cong,blue,DEC,3,900.0,738.6792943832421,0.81,43.451312997068975,4.05,0.96,0.96,323.85462279729325,True,True,True,0.7,-650.0,460.0,0.8666666666666667,0.17857142857142858,0.0452380952380953,0.17084282460136674,0.8291571753986332,True,blue,Wang Cong,1.0,1.0,0.12915717539863325,0.7,0.8291571753986332,-0.12915717539863325
2025-06-07,df5dac45fc585fb0,Mario Bautista,Patchy Mix,0.77,0.22999999999999998,Mario Bautista,0.77,red,0.12000000000000001,0.15,0.7300000000000001,DEC,0.7300000000000001,0.1,0.11,0.56,0.02,0.04,0.17,red_DEC,0.56,Mario Bautista,red,DEC,3,900.0,734.9196802247644,1.05,121.0573978792713,6.03,2.14,2.14,288.5914082398682,True,True,True,0.77,-174.0,146.0,0.635036496350365,0.4065040650406504,0.04154056139101536,0.390291151501339,0.609708848498661,True,blue,Patchy Mix,0.0,0.0,0.37970884849866104,0.77,0.390291151501339,0.37970884849866104
2025-06-07,e28e829800466aca,Kelvin Gastelum,Joe Pyfer,0.15000000000000002,0.85,Joe Pyfer,0.85,blue,0.14,0.16,0.7000000000000001,DEC,0.7000000000000001,0.07,0.04,0.04,0.07,0.12,0.66,blue_DEC,0.66,Joe Pyfer,blue,DEC,3,900.0,745.8169865246127,0.69,52.10976038493986,3.21,1.22,1.22,386.0566217487088,True,True,True,0.85,-390.0,310.0,0.7959183673469388,0.24390243902439024,0.03982080637132901,0.23456199138343706,0.765438008616563,True,blue,Joe Pyfer,1.0,1.0,-0.08456199138343704,0.85,0.765438008616563,0.08456199138343701
2025-06-07,e61d83e4e1f9c4d7,Merab Dvalishvili,Sean O'Malley,0.5800000000000001,0.41999999999999993,Merab Dvalishvili,0.5800000000000001,red,0.12,0.06999999999999999,0.81,DEC,0.81,0.03,0.01,0.54,0.09,0.06,0.27,red_DEC,0.54,Merab Dvalishvili,red,SUB,3,882.0,1342.1571969212255,0.48,249.51632236715156,14.64,5.36,5.36,669.2484048485552,True,False,False,0.5800000000000001,205.0,-250.0,0.32786885245901637,0.7142857142857143,0.042154566744730726,0.6853932584269663,0.31460674157303364,True,red,Merab Dvalishvili,1.0,1.0,-0.10539325842696623,0.5800000000000001,0.6853932584269663,-0.10539325842696623
2025-06-07,f0488a4486a64af0,Khaos Williams,Andreas Gustafsson,0.72,0.28,Khaos Williams,0.72,red,0.26,0.12000000000000001,0.62,DEC,0.62,0.25,0.02,0.45,0.01,0.1,0.17,red_DEC,0.45,Andreas Gustafsson,blue,DEC,3,900.0,703.0635221865226,0.69,56.069535791990205,3.0,1.17,1.17,381.74611101716454,False,True,False,0.28,158.0,-188.0,0.3875968992248062,0.6527777777777778,0.040374677002584125,0.6274448928904066,0.3725551071095933,True,red,Khaos Williams,0.0,1.0,0.09255510710959336,0.28,0.3725551071095933,0.09255510710959336
2025-06-14,1714950933f88ab9,Cody Garbrandt,Raoni Barcelos,0.3,0.7,Raoni Barcelos,0.7,blue,0.62,0.04,0.33999999999999997,KO_TKO,0.62,0.09,0.0,0.21,0.53,0.04,0.13,blue_KO_TKO,0.53,Raoni Barcelos,blue,DEC,3,900.0,501.4549003188668,0.22,24.499366652119107,2.84,0.65,0.65,296.14378836191946,True,False,False,0.7,-255.0,210.0,0.7183098591549296,0.3225806451612903,0.04089050431621999,0.3099083369707551,0.6900916630292449,True,blue,Raoni Barcelos,1.0,1.0,-0.009908336970755105,0.7,0.6900916630292449,0.009908336970755105
2025-06-14,2ae7404681deb3b3,Phil Rowe,Ange Loosa,0.53,0.47,Phil Rowe,0.53,red,0.01,0.05,0.94,DEC,0.94,0.01,0.03,0.49,0.0,0.02,0.45,red_DEC,0.49,Phil Rowe,red,KO_TKO,3,843.0,868.9819386900956,0.52,75.56077221945809,4.72,1.34,1.34,383.03231150159354,True,False,False,0.53,-180.0,152.0,0.6428571428571429,0.3968253968253968,0.039682539682539764,0.38167938931297707,0.6183206106870229,True,blue,Ange Loosa,0.0,0.0,0.14832061068702296,0.53,0.38167938931297707,0.14832061068702296
2025-06-14,59c4fdb3c0673066,Ricky Simon,Cameron Smotherman,0.51,0.49,Ricky Simon,0.51,red,0.15000000000000002,0.09999999999999999,0.75,DEC,0.75,0.07,0.09,0.35,0.08,0.01,0.4,blue_DEC,0.4,Ricky Simon,red,DEC,3,900.0,745.0851427110763,0.6,152.97519250910904,7.69,3.47,3.47,280.34057084430543,True,True,False,0.51,310.0,-390.0,0.24390243902439024,0.7959183673469388,0.03982080637132901,0.765438008616563,0.23456199138343706,True,red,Ricky Simon,1.0,1.0,-0.25543800861656296,0.51,0.765438008616563,-0.25543800861656296
2025-06-14,79dfbbdd14fbbd11,Rose Namajunas,Miranda Maverick,0.5700000000000001,0.42999999999999994,Rose Namajunas,0.5700000000000001,red,0.08,0.09,0.8300000000000001,DEC,0.8300000000000001,0.07,0.05,0.45,0.01,0.04,0.38,red_DEC,0.45,Rose Namajunas,red,DEC,3,900.0,807.1015680354226,0.46,167.8218157196461,5.16,2.52,2.52,353.53863550248525,True,True,True,0.5700000000000001,200.0,-245.0,0.3333333333333333,0.7101449275362319,0.04347826086956519,0.6805555555555556,0.3194444444444444,True,red,Rose Namajunas,1.0,1.0,-0.11055555555555552,0.5700000000000001,0.6805555555555556,-0.11055555555555552
2025-06-14,ab325ea526824723,Jamey-Lyn Horth,Vanessa Demopoulos,0.7100000000000001,0.2899999999999999,Jamey-Lyn Horth,0.7100000000000001,red,0.02,0.21000000000000002,0.77,DEC,0.77,0.02,0.13,0.56,0.0,0.08,0.21,red_DEC,0.56,Jamey-Lyn Horth,red,DEC,3,900.0,782.4784167421026,0.82,127.10080471052606,5.68,1.35,1.35,389.03659453088085,True,True,True,0.7100000000000001,460.0,-620.0,0.17857142857142858,0.8611111111111112,0.039682539682539764,0.8282442748091603,0.17175572519083968,True,red,Jamey-Lyn Horth,1.0,1.0,-0.11824427480916022,0.7100000000000001,0.8282442748091603,-0.11824427480916022
